#{"t_start": 1775328281.5124178, "env_id": "None"}
r,l,t
5.033199,30,63.825253
4.190549,30,63.84572
9.152166,30,63.850759
7.91722,30,63.883008
2.687695,30,63.903182
2.899636,30,63.922897
9.790271,30,63.942707
1.842235,30,63.966136
9.51455,30,63.989177
9.83724,30,64.010615
4.400624,30,64.028479
6.276353,30,64.045972
9.505079,30,64.067606
7.948562,30,64.083423
5.355728,30,64.10124
2.029153,30,64.119059
10.348696,30,64.137695
9.422133,30,64.15536
4.705396,30,64.173176
8.363358,30,64.184971
3.927467,30,64.201704
10.450217,30,64.216887
4.05215,30,64.246742
8.706288,30,64.26498
8.057429,30,64.270591
9.592503,30,64.302538
8.134526,30,64.319897
9.608252,30,64.337931
2.744962,30,64.355655
3.625787,30,64.356652
5.390556,30,64.388345
9.636945,30,64.404147
6.352964,30,64.420119
6.781956,30,64.436284
2.406836,30,64.458915
10.643251,30,64.465915
6.12241,30,64.492675
10.810195,30,64.511799
8.06828,30,64.531565
8.327265,30,64.549186
2.68135,30,64.572791
7.5625,30,64.591671
-0.822941,30,64.603444
7.641798,30,64.620896
5.596832,30,64.63448
8.812516,30,66.407181
8.421741,30,66.432704
8.151545,30,66.459064
10.501832,30,66.482664
8.546136,30,66.509756
7.029791,30,66.54143
8.431071,30,66.564256
2.730101,30,66.591544
3.813421,30,66.614362
11.265387,30,66.640316
2.369085,30,66.663189
4.860831,30,66.688505
3.806229,30,66.710563
3.293742,30,66.733564
7.776466,30,66.761244
3.853448,30,66.782758
1.575486,30,66.807081
10.448982,30,66.829818
3.742322,30,66.852094
10.736022,30,66.874756
9.238423,30,66.896595
4.706419,30,66.918748
11.683129,30,66.942708
3.64327,30,66.964283
6.714491,30,66.987556
7.450926,30,67.003552
5.339174,30,67.029756
7.555709,30,67.052423
2.623379,30,67.075316
2.655075,30,67.096494
7.070686,30,67.117225
1.206733,30,67.139741
2.105154,30,67.158341
9.863195,30,67.179459
2.011739,30,67.199279
10.527265,30,67.219175
1.166531,30,67.241285
2.372286,30,67.261653
10.009801,30,67.283404
2.630757,30,67.305999
8.65975,30,67.320186
9.189148,30,67.346862
3.197918,30,67.368064
3.785262,30,67.390288
6.528465,30,67.402338
7.996802,30,67.42907
3.769737,30,67.447304
6.733089,30,67.453832
9.431978,30,67.48621
7.760613,30,67.507979
1.898456,30,67.520491
9.275095,30,67.535786
10.466726,30,67.55384
8.580803,30,67.567579
7.349877,30,67.599464
2.715619,30,67.620314
6.307496,30,67.631382
7.161577,30,67.66024
5.999151,30,67.680681
9.157284,30,67.687186
3.142631,30,67.703784
8.60121,30,67.734733
-2.285726,30,67.755632
4.907508,30,67.774253
6.233478,30,67.792252
3.953772,30,67.803854
6.645141,30,67.829119
10.754248,30,67.846005
6.884247,30,69.29168
6.932389,30,69.308825
9.268128,30,69.325297
8.477213,30,69.356477
8.190587,30,69.382937
9.916193,30,69.407976
2.92357,30,69.418977
5.441198,30,69.435678
8.106706,30,69.470986
6.773555,30,69.482785
7.567217,30,69.520874
10.679072,30,69.527873
2.317751,30,69.564889
6.790019,30,69.585553
6.873093,30,69.606852
2.224601,30,69.626503
4.784146,30,69.635547
9.6091,30,69.653331
7.682985,30,69.687154
2.095434,30,69.704974
8.957259,30,69.726079
9.380697,30,69.746605
4.756646,30,69.765383
3.520955,30,69.785312
10.291854,30,69.803961
9.625793,30,69.82104
9.879796,30,69.838869
9.793641,30,69.85649
3.54777,30,69.882573
7.867819,30,69.901627
8.690252,30,69.920382
6.038818,30,69.93545
1.767248,30,69.957453
5.586484,30,69.974632
3.731533,30,69.994832
9.395966,30,70.012828
10.134945,30,70.031374
7.701038,30,70.048435
6.065541,30,70.066215
8.944841,30,70.075169
6.847999,30,70.106764
7.329394,30,70.128945
5.172942,30,70.138789
7.395725,30,70.169042
3.524465,30,70.184667
11.832608,30,70.207909
8.850758,30,70.225747
7.07598,30,70.237137
2.148659,30,70.253479
11.123501,30,70.277983
5.087847,30,70.300791
7.538014,30,70.309066
9.107122,30,70.335015
10.55161,30,70.350826
1.259218,30,70.366899
5.201032,30,70.384722
6.291229,30,70.401898
